                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.9457,6.1509,4.1581,0,0,0,0,3.7659,4.6285,4.1124,0.00021728,0.00021728,0.00021728
2,3.6642,5.5366,3.8717,                  7e-05,0.09091,0.00016,                  5e-05,3.4282,4.2447,3.615,0.00043526,0.00043526,0.00043526
3,3.3873,5.2775,3.5504,0.00236,0.05465,0.00517,0.00109,3.1839,4.5703,3.4768,0.00064884,0.00064884,0.00064884
4,3.2114,4.9362,3.3536,0.63945,0.0124,0.00215,0.00032,3.0854,4.0971,3.3093,0.00064719,0.00064719,0.00064719
5,3.114,4.7766,3.1999,0.00251,0.13936,0.00197,0.00029,3.1051,4.6849,3.3047,0.00064059,0.00064059,0.00064059
6,3.0927,4.6459,3.1167,0.20078,0.02546,0.01405,0.00393,2.9632,4.3828,3.0993,0.00063398,0.00063398,0.00063398
7,3.0413,4.4674,3.0332,0.66424,0.02066,0.01429,0.00218,3.0929,5.2555,3.2491,0.00062738,0.00062738,0.00062738
8,3.0161,4.4837,3.0088,0.64093,0.00413,0.00307,0.00072,3.124,4.8129,3.3104,0.00062078,0.00062078,0.00062078
9,2.9569,4.4002,2.9581,0.74294,0.00826,0.01141,0.00301,2.9183,4.059,3.0343,0.00061417,0.00061417,0.00061417
10,2.9427,4.3327,2.9017,0.7613,0.02893,0.02502,0.00797,2.7874,4.3045,2.9476,0.00060757,0.00060757,0.00060757
11,2.8787,4.2068,2.8569,0.65992,0.04506,0.01366,0.00296,2.7549,4.2246,2.9823,0.00060097,0.00060097,0.00060097
12,2.8367,4.1217,2.7947,0.74975,0.02479,0.03275,0.00711,2.6899,3.9697,2.931,0.00059436,0.00059436,0.00059436
13,2.7966,4.0989,2.7871,0.58092,0.05819,0.0236,0.00689,2.6847,3.902,2.901,0.00058776,0.00058776,0.00058776
14,2.8043,4.0661,2.7499,0.59685,0.09241,0.02596,0.00643,2.7562,4.1025,2.8935,0.00058116,0.00058116,0.00058116
15,2.7527,3.9402,2.7227,0.60447,0.10074,0.0427,0.01286,2.5983,3.6886,2.7993,0.00057455,0.00057455,0.00057455
16,2.705,3.9356,2.6914,0.85063,0.02479,0.04117,0.01252,2.6491,3.7763,2.8512,0.00056795,0.00056795,0.00056795
17,2.7092,3.8573,2.6798,0.52224,0.05295,0.0519,0.01518,2.6229,3.6372,2.8221,0.00056135,0.00056135,0.00056135
18,2.6541,3.8451,2.6419,0.36691,0.11721,0.05645,0.01527,2.6125,3.7115,2.8338,0.00055474,0.00055474,0.00055474
19,2.6686,3.7743,2.6318,0.51701,0.1126,0.06311,0.02555,2.5474,3.6494,2.7465,0.00054814,0.00054814,0.00054814
20,2.6343,3.7051,2.6203,0.44551,0.09657,0.04965,0.01466,2.6991,3.9364,2.8868,0.00054154,0.00054154,0.00054154
21,2.5849,3.6686,2.5754,0.3789,0.13337,0.08556,0.03534,2.5876,3.4313,2.7393,0.00053493,0.00053493,0.00053493
22,2.5955,3.6038,2.5528,0.46177,0.06849,0.06087,0.02427,2.563,3.6042,2.7551,0.00052833,0.00052833,0.00052833
23,2.6077,3.6284,2.5289,0.36558,0.11525,0.06509,0.02154,2.5258,3.4251,2.7372,0.00052173,0.00052173,0.00052173
24,2.5103,3.4916,2.4913,0.41817,0.11647,0.06907,0.02906,2.57,3.4347,2.7429,0.00051512,0.00051512,0.00051512
25,2.5261,3.5132,2.4966,0.27805,0.15056,0.08188,0.03188,2.4559,3.3019,2.6441,0.00050852,0.00050852,0.00050852
26,2.4722,3.4027,2.4612,0.29329,0.14007,0.08497,0.03489,2.5281,3.3767,2.6404,0.00050192,0.00050192,0.00050192
27,2.4796,3.4129,2.4718,0.29989,0.15517,0.10325,0.04044,2.3932,3.2479,2.63,0.00049531,0.00049531,0.00049531
28,2.4233,3.3591,2.4206,0.49751,0.11887,0.10654,0.04352,2.4921,3.4162,2.7205,0.00048871,0.00048871,0.00048871
29,2.3991,3.3044,2.4215,0.43687,0.1168,0.08458,0.03356,2.5499,3.4306,2.7166,0.00048211,0.00048211,0.00048211
30,2.4215,3.2776,2.4061,0.30204,0.1591,0.12025,0.04759,2.4705,3.1253,2.5735,0.0004755,0.0004755,0.0004755
31,2.3848,3.1882,2.3981,0.35823,0.15697,0.13607,0.06049,2.3933,3.0613,2.5486,0.0004689,0.0004689,0.0004689
32,2.3932,3.1829,2.3783,0.49963,0.13175,0.12388,0.0665,2.4199,3.2558,2.6341,0.0004623,0.0004623,0.0004623
33,2.3506,3.151,2.3723,0.31656,0.15086,0.12137,0.05261,2.5202,3.3616,2.724,0.00045569,0.00045569,0.00045569
34,2.3362,3.0947,2.3352,0.33583,0.19851,0.14685,0.06539,2.3951,3.007,2.601,0.00044909,0.00044909,0.00044909
35,2.3302,3.0499,2.3218,0.37091,0.19727,0.157,0.07282,2.3665,2.9681,2.5111,0.00044249,0.00044249,0.00044249
36,2.3134,3.0066,2.318,0.46112,0.13263,0.1404,0.06274,2.3518,3.033,2.5263,0.00043588,0.00043588,0.00043588
37,2.2859,2.9646,2.278,0.41879,0.17853,0.1631,0.07385,2.3268,2.9215,2.4886,0.00042928,0.00042928,0.00042928
38,2.301,3.0006,2.2809,0.31961,0.18002,0.1575,0.07378,2.3278,2.9597,2.5062,0.00042268,0.00042268,0.00042268
39,2.2674,2.9101,2.2723,0.34466,0.21563,0.17336,0.08388,2.3018,2.8176,2.5063,0.00041607,0.00041607,0.00041607
40,2.2256,2.8813,2.264,0.38246,0.1991,0.18597,0.08765,2.3332,2.9345,2.5397,0.00040947,0.00040947,0.00040947
41,2.2261,2.8337,2.2578,0.4029,0.20702,0.17496,0.08125,2.3321,2.8392,2.5404,0.00040287,0.00040287,0.00040287
42,2.2393,2.8337,2.2517,0.43291,0.20638,0.19181,0.09186,2.2815,2.7388,2.4756,0.00039626,0.00039626,0.00039626
43,2.1959,2.7157,2.2165,0.43086,0.19045,0.18867,0.09359,2.3447,2.8475,2.4926,0.00038966,0.00038966,0.00038966
44,2.2245,2.7885,2.2364,0.37909,0.22483,0.19411,0.09757,2.2841,2.8215,2.4761,0.00038306,0.00038306,0.00038306
45,2.1766,2.6771,2.211,0.45638,0.23673,0.21171,0.1093,2.2624,2.7557,2.4481,0.00037645,0.00037645,0.00037645
46,2.1787,2.6944,2.1978,0.51014,0.20989,0.21206,0.10759,2.2817,2.7902,2.4552,0.00036985,0.00036985,0.00036985
47,2.2102,2.6968,2.2271,0.43436,0.22456,0.21944,0.10284,2.2622,2.6443,2.4492,0.00036325,0.00036325,0.00036325
48,2.13,2.6066,2.1586,0.33744,0.21556,0.20125,0.09676,2.2554,2.6703,2.4553,0.00035664,0.00035664,0.00035664
49,2.1518,2.6501,2.1755,0.444,0.22158,0.21532,0.10541,2.2394,2.564,2.4216,0.00035004,0.00035004,0.00035004
50,2.0906,2.5228,2.1301,0.42579,0.23207,0.21747,0.10986,2.2341,2.7535,2.4365,0.00034344,0.00034344,0.00034344
51,2.1308,2.5431,2.1624,0.46525,0.23533,0.2237,0.10758,2.2415,2.6232,2.4119,0.00033683,0.00033683,0.00033683
52,2.1008,2.4327,2.1154,0.46335,0.27109,0.26095,0.12855,2.1821,2.4724,2.3881,0.00033023,0.00033023,0.00033023
53,2.0908,2.428,2.0951,0.52702,0.27503,0.2723,0.13433,2.2012,2.4485,2.3834,0.00032363,0.00032363,0.00032363
54,2.0684,2.4013,2.1044,0.46878,0.28025,0.26703,0.13082,2.1908,2.4436,2.3874,0.00031703,0.00031703,0.00031703
55,2.0639,2.3606,2.0906,0.39571,0.27753,0.27654,0.12861,2.2096,2.3392,2.3829,0.00031042,0.00031042,0.00031042
56,2.0702,2.4127,2.1158,0.53711,0.27358,0.27854,0.1272,2.2405,2.4417,2.4345,0.00030382,0.00030382,0.00030382
57,2.0638,2.3916,2.1153,0.43113,0.28583,0.29118,0.1383,2.1789,2.3551,2.3606,0.00029722,0.00029722,0.00029722
58,2.0184,2.3118,2.0861,0.41184,0.25723,0.27488,0.13626,2.2236,2.4173,2.3959,0.00029061,0.00029061,0.00029061
59,2.0411,2.2654,2.0681,0.36265,0.31822,0.31023,0.15145,2.1621,2.2714,2.3531,0.00028401,0.00028401,0.00028401
60,2.013,2.2477,2.0588,0.34481,0.30564,0.28649,0.13353,2.211,2.2813,2.3693,0.00027741,0.00027741,0.00027741
61,2.0108,2.2508,2.0471,0.42635,0.28055,0.28763,0.13663,2.201,2.3692,2.3785,0.0002708,0.0002708,0.0002708
62,1.9707,2.1795,2.0125,0.3652,0.3604,0.32898,0.15186,2.1497,2.1455,2.3409,0.0002642,0.0002642,0.0002642
63,1.9727,2.1721,2.0242,0.39479,0.32837,0.32575,0.15183,2.2377,2.2402,2.395,0.0002576,0.0002576,0.0002576
64,1.9782,2.1464,2.0262,0.39839,0.34713,0.33901,0.15731,2.1558,2.1551,2.3492,0.00025099,0.00025099,0.00025099
65,1.9791,2.1657,2.0324,0.36877,0.36448,0.34369,0.15594,2.1318,2.1703,2.3239,0.00024439,0.00024439,0.00024439
66,1.9538,2.1131,2.0033,0.418,0.33919,0.35048,0.16704,2.1764,2.129,2.3659,0.00023779,0.00023779,0.00023779
67,1.9542,2.0755,2.0118,0.35816,0.34366,0.34409,0.16231,2.171,2.1069,2.3693,0.00023118,0.00023118,0.00023118
68,1.9422,2.0553,2.0208,0.35986,0.37905,0.35189,0.16417,2.1544,2.1039,2.3466,0.00022458,0.00022458,0.00022458
69,1.9642,2.0867,2.02,0.50109,0.35036,0.38447,0.17578,2.113,2.0623,2.3113,0.00021798,0.00021798,0.00021798
70,1.8944,2.0558,1.9842,0.50967,0.38008,0.38089,0.16783,2.1514,2.0488,2.3433,0.00021137,0.00021137,0.00021137
71,1.9487,2.0335,1.9836,0.68985,0.34954,0.40859,0.18365,2.1572,2.0245,2.3518,0.00020477,0.00020477,0.00020477
72,1.9171,2.0058,1.9663,0.61654,0.36459,0.39568,0.18099,2.0995,1.9915,2.2936,0.00019817,0.00019817,0.00019817
73,1.9343,1.9962,1.9649,0.63186,0.36084,0.40673,0.17744,2.1822,2.063,2.3622,0.00019156,0.00019156,0.00019156
74,1.8962,1.9837,1.9598,0.6518,0.35347,0.40441,0.18383,2.1541,1.9829,2.3541,0.00018496,0.00018496,0.00018496
75,1.8913,1.9533,1.9438,0.58291,0.37782,0.38777,0.18015,2.1234,2.0439,2.3092,0.00017836,0.00017836,0.00017836
76,1.9014,1.9498,1.9562,0.53542,0.42094,0.43091,0.19841,2.1092,1.9301,2.2883,0.00017175,0.00017175,0.00017175
77,1.8867,1.9463,1.9627,0.65406,0.39407,0.43657,0.19618,2.137,1.8975,2.3245,0.00016515,0.00016515,0.00016515
78,1.8513,1.8899,1.9413,0.71765,0.39733,0.45562,0.19906,2.092,1.8537,2.2973,0.00015855,0.00015855,0.00015855
79,1.8625,1.8969,1.9239,0.63244,0.39456,0.42558,0.19182,2.1565,1.8944,2.329,0.00015194,0.00015194,0.00015194
80,1.8514,1.9525,1.9451,0.68094,0.39598,0.4399,0.19733,2.1238,1.8566,2.3261,0.00014534,0.00014534,0.00014534
81,1.8426,1.8594,1.9372,0.64153,0.41305,0.44633,0.20531,2.0771,1.8696,2.2699,0.00013874,0.00013874,0.00013874
82,1.8482,1.839,1.9424,0.64232,0.40598,0.44663,0.20586,2.118,1.8129,2.3041,0.00013213,0.00013213,0.00013213
83,1.8444,1.8391,1.9254,0.55782,0.45075,0.46389,0.21421,2.101,1.8132,2.2983,0.00012553,0.00012553,0.00012553
84,1.8218,1.8091,1.9182,0.68206,0.42416,0.45205,0.20693,2.1126,1.8109,2.3044,0.00011893,0.00011893,0.00011893
85,1.81,1.7749,1.8883,0.68228,0.4414,0.4672,0.21357,2.1173,1.7792,2.2962,0.00011232,0.00011232,0.00011232
86,1.7834,1.7533,1.8772,0.64106,0.43802,0.45655,0.21896,2.092,1.822,2.2982,0.00010572,0.00010572,0.00010572
87,1.7857,1.7491,1.9085,0.64706,0.41852,0.44531,0.20385,2.0942,1.835,2.2943,             9.9116e-05,             9.9116e-05,             9.9116e-05
88,1.7798,1.7454,1.862,0.6666,0.44033,0.4681,0.21468,2.0959,1.7509,2.2935,             9.2513e-05,             9.2513e-05,             9.2513e-05
89,1.8075,1.783,1.8888,0.61906,0.45577,0.46051,0.22037,2.0983,1.7665,2.2945,              8.591e-05,              8.591e-05,              8.591e-05
90,1.7865,1.7545,1.891,0.7253,0.42816,0.46227,0.21827,2.1115,1.7298,2.2944,             7.9306e-05,             7.9306e-05,             7.9306e-05
91,1.788,1.7101,2.0205,0.61788,0.45482,0.46286,0.21803,2.1207,1.7353,2.3231,             7.2703e-05,             7.2703e-05,             7.2703e-05
92,1.7265,1.5745,1.9758,0.6615,0.47032,0.46525,0.21973,2.0639,1.6947,2.2695,               6.61e-05,               6.61e-05,               6.61e-05
93,1.7245,1.6042,1.9768,0.71381,0.43657,0.47029,0.2268,2.079,1.6855,2.2907,             5.9496e-05,             5.9496e-05,             5.9496e-05
94,1.7067,1.5389,1.9611,0.64683,0.47605,0.47778,0.21705,2.0687,1.6876,2.2848,             5.2893e-05,             5.2893e-05,             5.2893e-05
95,1.6912,1.5486,1.9547,0.65364,0.46537,0.46847,0.21588,2.0718,1.6711,2.2812,              4.629e-05,              4.629e-05,              4.629e-05
96,1.6951,1.5141,1.9414,0.59374,0.48719,0.4689,0.21658,2.0853,1.6842,2.2908,             3.9687e-05,             3.9687e-05,             3.9687e-05
97,1.6938,1.5141,1.9467,0.6833,0.45155,0.46542,0.21083,2.0791,1.6573,2.2907,             3.3083e-05,             3.3083e-05,             3.3083e-05
98,1.6727,1.4814,1.9215,0.65961,0.46204,0.47696,0.21191,2.0647,1.6356,2.2797,              2.648e-05,              2.648e-05,              2.648e-05
99,1.6558,1.501,1.9242,0.64337,0.48236,0.47628,0.21835,2.0672,1.6449,2.2855,             1.9877e-05,             1.9877e-05,             1.9877e-05
100,1.6762,1.49,1.9416,0.64517,0.48797,0.47834,0.21011,2.0556,1.6388,2.2747,             1.3273e-05,             1.3273e-05,             1.3273e-05
